Record ID,Current Institution    List the person's current institution. Select the name of the insitutation from the drop down (list is in alphabetical order). 
271,University of Wisconsin-Madison
272,University of Vermont
273,Duke University
274,
275,Harvard University
276,
277,University of Alabama at Birmingham
278,Cornell University
279,NIH
280,NIH
281,NIH
282,NIH
283,NIH
284,NIH
285,NIH
286,NIH
287,NIH
288,NIH
289,Augusta University
290,NIH
291,NIH
292,NIH
293,University of Wisconsin-Madison
294,Harvard University
295,Stanford University
296,Washington University in St. Louis
297,NorthShore University HealthSystem
298,Albert Einstein College of Medicine
299,Vanderbilt University
301,University of Pennsylvania
302,Medical College of Wisconsin
303,"University of California, San Francisco"
304,University of Michigan
305,University of Wisconsin-Madison
306,Northwestern University
307,University of Southern California
308,University of Southern California
309,University of Washington
310,University of Wisconsin-Madison
311,University of Wisconsin-Madison
312,University of Wisconsin-Madison
313,University of Wisconsin-Madison
314,Children's Hospital of Eastern Ontario
315,Indiana University Bloomington
316,Institut Pasteur
317,University of Wisconsin-Madison
318,University of Wisconsin-Madison
320,University of Massachusetts Boston
322,Medical College of Wisconsin
323,University of Wisconsin-Madison
324,University of Wisconsin-Madison
325,University of Wisconsin-Madison
326,Children's Hospital of Philadelphia
327,University of Notre Dame
328,University of Florida
329,Vanderbilt University
332,Albert Einstein College of Medicine
333,Albert Einstein College of Medicine
334,Angkor Hospital for Children
335,Augusta University
336,Baylor College of Medicine
337,Baylor College of Medicine
338,Boston University
339,Case Western Reserve University
340,Children's Mercy Hospital
341,CHU Dijon
342,Cleveland Clinic
343,Yale University
344,Dartmouth Hitchcock Medical Center
345,University of Texas at Austin
346,Duke University
347,Northwestern University
349,Duke University
350,Duke University
351,Duke University
352,Duke University
353,University of Wisconsin-Madison
354,Harvard University
355,Harvard University
357,Harvard University
358,Harvard University
359,Harvard University
360,Harvard University
361,Harvard University
362,Industry
363,Industry
364,Industry
365,Life Management Science Labs
366,Loyola University Chicago
367,Loyola University Chicago
368,Montefiore Medical Center
369,Montefiore Medical Center
372,Michigan State University
373,Nationwide Children's Hospital
374,Nigeria
380,Non-profit
382,NewYork-Presbyterian
383,NewYork-Presbyterian
384,Oregon Health and Science University
385,Ohio State University
386,Ohio State University
387,Plano West HS
389,Stanford University
390,Stanford University
393,University of Texas Health Science Center at Houston
394,University of Alabama at Huntsville
395,"University of California, San Diego"
396,"University of California, San Diego"
397,University of Abuja
398,University at Buffalo
399,University of Chicago
400,University of Colorado
401,University of Colorado
402,University of Colorado
403,University of Florida
404,University of Manchester
406,Children's Hospital of Philadelphia
407,University of Pittsburgh
408,University of Pittsburgh
409,University of Pittsburgh
410,University of Pittsburgh
411,University of Queensland
412,University of Washington
414,University of Texas at Dallas
415,University of Texas at Dallas
416,University of Texas at Dallas
417,University of Texas at Dallas
418,University of Texas at Dallas
420,University of Wisconsin-Madison
421,VA Boston
422,Vanderbilt University
423,Vanderbilt University
425,Wake Forest University
426,Columbia University
427,Duke University
428,Georgetown University
429,Duke University
431,Cornell University
432,Cornell University
434,Joseph Sarwuan Tarka University
436,Western University
437,Medical College of Wisconsin
438,Virginia Commonwealth University
439,Indiana University Bloomington
440,University of Michigan
441,University of Utah
442,"Beaumont Hospital, Royal Oak"
444,University of Wisconsin-Madison
445,University of Wisconsin-Madison
446,University of Wisconsin-Madison
447,University of Wisconsin-Madison
448,University of Wisconsin-Madison
449,University of Wisconsin-Madison
450,University of Wisconsin-Madison
451,University of Wisconsin-Madison
452,University of Wisconsin-Madison
453,University of Wisconsin-Madison
454,University of Wisconsin-Madison
455,University of Wisconsin-Madison
456,University of Wisconsin-Madison
457,University of Wisconsin-Madison
458,University of Wisconsin-Madison
459,University of Wisconsin-Madison
460,University of Wisconsin-Madison
461,University of Wisconsin-Madison
462,University of Wisconsin-Madison
463,University of Wisconsin-Madison
464,University of Wisconsin-Madison
465,University of Wisconsin-Madison
466,University of Wisconsin-Madison
467,University of Wisconsin-Madison
468,University of Wisconsin-Madison
469,University of Wisconsin-Madison
471,University of Wisconsin-Madison
473,University of Wisconsin-Madison
474,University of Wisconsin-Madison
475,St. Norbert College
476,University of Wisconsin-Madison
477,University of Wisconsin-Madison
478,University of Wisconsin-Madison
479,University of Wisconsin-Madison
480,University of Wisconsin-Madison
481,University of Wisconsin-Madison
482,University of Wisconsin-Madison
483,University of Wisconsin-Madison
484,University of Wisconsin-Madison
485,University of Texas Southwestern
486,Northwestern University
487,Loyola University Chicago
488,NIH
489,Medical College of Wisconsin
490,Indiana University Bloomington
491,Indiana University Bloomington
492,Indiana University Bloomington
493,Cleveland Clinic
495,Boston Children's Hospital
496,"University of California, San Francisco"
497,University of Wisconsin-Madison
498,Stanford University
499,University of Minnesota
500,"University of California, Los Angeles"
501,Ohio State University
502,Western University
503,Lawson Health Research Institute
504,"University of California, San Diego"
505,Indiana University Bloomington
506,Yale University
507,Urobiome Therapeutics
508,Stanford University
509,Loyola University Chicago
510,Columbia University
511,University of Pittsburgh
512,University of Pittsburgh
513,Stanford University
514,Northwestern University
515,Stanford University
516,Stanford University
517,Stanford University
518,University of Wisconsin-Madison
519,University of Wisconsin-Madison
520,University of Wisconsin-Madison
521,University of Massachusetts Boston
522,University of Wisconsin-Madison
523,University of Wisconsin-Madison
524,University of Stirling
525,University of Reading
526,Oregon Health and Science University
527,Arbor Research Collaborative for Health
528,Stanford University
529,Creighton University School of Medicine
530,"University of California, San Diego"
531,Mt. Calvary Center for Leadership Development
532,University of Pittsburgh
533,NIH
534,Illinois Institute of Technology
535,Creighton University School of Medicine
536,NICHD
537,Medical College of Wisconsin
538,South Australian Health and Medical Research Institute
539,Virginia Commonwealth University
540,University of Kansas Medical Center
541,Northeastern University
542,Commonwealth of Massachusetts
543,Juniper Biomedical
544,NICHD
545,NIDDK
546,Florida International University
547,University of Alabama at Birmingham
548,University of Utah
549,University of Melbourne
550,Private
551,Wollo University
552,Washington University in St. Louis
553,NINDS
554,University of Texas at Austin
555,Georgia Institute of Technology
556,Feinstein Institutes for Medical Research
557,University of Central Florida
558,Industry
559,University of Louisville
560,Bayer Pharmaceuticals
561,University of Pittsburgh
562,University of Melbourne
563,Atrium Health Carolinas Medical Center
564,Laureate Institute for Brain Research
565,Virginia Commonwealth University
566,Istanbul University - Cerrahpasa
567,University of Texas at Dallas
568,University of Southern California
569,Washington University in St. Louis
570,NINDS
571,Universidade do Extremo Sul Catarinense
572,University of Grantham
573,Boston Children's Hospital
574,University of Utah
575,Baylor College of Medicine
576,Dignify Therapeutics
577,Children's Hospital of Philadelphia
578,University of Michigan
579,Houston Methodist Hospital
580,NIH
581,University of Kansas Medical Center
582,University of Kansas Medical Center
583,University of Minnesota
584,University of Melbourne
585,University of Michigan
586,Ohio State University
587,University of Tulsa
588,Lurie Children's Hospital of Chicago
589,University of Pittsburgh
590,University of Houston
591,"University of California, Irvine"
593,Howard University
594,Connecticut Children's
595,Washington University in St. Louis
596,Harvard University
597,NIDDK
598,Northwestern University
599,NIDDK
600,Mayo Clinic
601,Boston Children's Hospital
602,Dignify Therapeutics
603,Northwestern University
605,University of Vermont
606,Health Resources and Services Administration
607,University of Washington
608,Eastern Virginia Medical School
609,University of Houston
610,"University of California, San Francisco"
611,Stanford University
612,University of Michigan
613,Mayo Clinic
614,Mayo Clinic
615,University of Arizona
616,Vanderbilt University
617,Washington University in St. Louis
618,Mayo Clinic
619,Duke University
620,Duke University
621,University of Illinois Chicago
622,Drexel University
623,Baylor College of Medicine
624,Duke University
627,Stanford University
628,Mayo Clinic
629,University of Wisconsin-Madison
630,Baylor College of Medicine
631,University of Wisconsin-Madison
632,University of Wisconsin-Madison
633,University of Washington
634,Washington University in St. Louis
635,University of Wisconsin-Madison
636,Vanderbilt University
637,University of Colorado
638,University of Pennsylvania
639,University of Pennsylvania
640,University of Minnesota
641,CACI International Inc.
642,Indiana University Bloomington
643,dkNET
644,SCG
645,Vanderbilt University
646,Duke University
647,Columbia University
648,Columbia University
649,NIDDK
650,Ayurvedic Doctors for Orthopaedic in Indore
651,"SCB Medical College and Hospital, Cuttack"
652,Mayo Clinic
653,Harvard University
654,NYU Langone Health
655,University of Vermont
656,NIH
657,NIH
658,University of Wisconsin-Madison
659,University of Washington
660,"University of California, San Diego"
661,University of South Alabama
662,Duke University
663,Asia Pacific University
664,Vanderbilt University
665,University of Michigan
666,Stanford University
